#mpa_v31_CHOCOPhlAn_201901
clade_name	T0101B.A	T0101B.B	T0101B.C	T0101B.D	T0101B.E	T0101B.F	T0101B.G	T0101B.H	T0101B.I	T0101B.J	T0108A.A	T0108A.B	T0108A.C	T0108A.D	T0108A.E	T0108A.F	T0108A.H	T0108A.I	T0108B.A	T0108B.B	T0108B.C	T0108B.D	T0108B.E	T0108B.F	T0108B.H	T0108B.I	T0108B.J	T0122A.B	T0122A.C	T0122A.D	T0122A.E	T0122A.F	T0122A.G	T0122A.H	T0122A.I	T0122A.J	T0122B.A	T0122B.B	T0122B.C	T0122B.D	T0122B.E	T0122B.F	T0122B.G	T0122B.H	T0122B.I	T0132A.B	T0132A.C	T0132A.D	T0132A.E	T0132A.F	T0132A.G	T0132A.H	T0132A.I	T0132A.J	T0132B.A	T0132B.B	T0132B.C	T0132B.D	T0132B.E	T0132B.F	T0132B.G	T0132B.H	T0132B.I	T0132B.J	T0143A.B	T0143A.C	T0143A.D	T0143A.E	T0143A.F	T0143A.G	T0143A.H	T0143A.I	T0160B.B	T0160B.C	T0160B.D	T0160B.E	T0160B.F	T0160B.G	T0160B.H	T0160B.I	T0160B.J	T0168A.A	T0168A.B	T0168A.C	T0168A.D	T0168A.E	T0168A.F	T0168A.G	T0168A.H	T0168A.I	T0168A.J	T0168A.K	T0171A.A	T0171A.B	T0171A.C	T0171A.D	T0171A.E	T0171A.F	T0171A.G	T0171A.H	T0171A.I	T0171A.J	T0171B.B	T0171B.C	T0171B.D	T0171B.E	T0171B.F	T0171B.G	T0171B.H	T0171B.I	T0171B.J	T0171B.K	T0180A.C	T0180A.D	T0180A.E	T0180A.F	T0180A.G	T0180A.I	T0180A.J	T0180A.K	T0180B.A	T0180B.B	T0180B.C	T0180B.D	T0180B.E	T0180B.F	T0180B.G	T0180B.I	T0180B.J	T0180B.K	T0181A.A	T0181A.B	T0181A.C	T0181A.D	T0181A.E	T0181A.F	T0181A.G	T0181A.H	T0181A.I	T0181A.J	T0181A.K	T0181B.A	T0181B.B	T0181B.C	T0181B.D	T0181B.E	T0181B.F	T0181B.G	T0181B.H	T0181B.I	T0181B.J	T0181B.K	T0185A.A	T0185A.B	T0185A.C	T0185A.D	T0185A.E	T0185A.F	T0185A.G	T0185A.H	T0185A.I	T0185A.J
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99161	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.76236	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.97505	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Proteobacteria	99.98599	31.05134	14.86162	9.67913	4.05849	0.0	0.08491	0.0	0.00941	0.0	100.0	8.48629	8.83362	2.0004	11.20912	0.66419	0.95719	0.21417	1.31149	8.94559	13.69398	8.4417	16.37297	1.25989	0.80071	0.27185	0.2595	28.4393	0.92787	13.09782	2.2192	3.42481	0.89878	0.67106	3.6515	0.0	46.36951	26.98518	2.28588	15.17846	1.71792	2.15073	0.24191	3.38761	0.07879	0.53318	0.76624	1.20212	2.03936	0.58016	0.21395	0.84141	0.0	0.44939	99.82602	6.58804	0.99407	14.78501	2.64993	0.81036	0.15577	0.16607	1.21444	0.80527	43.45577	49.21514	14.21011	10.19242	1.781	2.45072	0.30448	0.70097	65.92265	10.0049	4.30065	6.0451	1.02452	2.99492	0.17442	0.29424	1.73655	0.0	0.06184	4.96085	0.66555	0.31789	0.29148	1.05389	0.09222	0.0305	0.0	0.0	81.53177	20.81685	7.79822	3.54386	1.89787	5.10572	1.60263	0.75574	0.99905	1.17604	30.84523	2.0676	7.09476	2.21614	5.24529	3.01209	0.41176	0.34264	0.17594	0.62977	16.84465	1.28393	10.84599	1.37188	1.29177	0.58753	0.36651	0.45209	0.78527	48.16835	22.72211	5.50273	0.68554	2.03444	0.38468	0.20984	0.24535	0.42646	0.0	45.17139	7.71135	1.4115	4.81893	3.45235	1.32978	0.10961	0.46174	1.33406	0.64626	0.0	40.68195	7.68762	3.80441	6.9275	1.58548	2.08423	1.85683	0.42718	0.2733	0.0	99.42681	15.54706	40.87808	20.26634	2.42854	2.74993	4.24315	42.61258	0.0	0.11291
k__Bacteria|p__Actinobacteria	0.01401	15.85224	8.46702	13.09246	30.42287	41.2371	4.32884	12.2756	10.33983	11.93579	0.0	24.85533	23.44583	20.8278	6.94291	10.77662	10.43321	10.85721	0.0	35.23327	30.7128	17.79044	8.11427	13.75554	9.35931	11.5338	0.63934	65.82791	38.31713	47.63512	71.52388	56.62104	25.34116	19.2705	8.25732	4.05783	0.0	65.56166	60.79439	50.4601	26.24676	29.14213	22.14003	8.60406	1.90747	93.10088	70.97894	84.15801	11.77579	12.02392	5.8761	3.90264	2.82873	3.49573	0.0	89.00051	82.60722	0.44326	35.12189	22.90066	50.91881	3.48062	1.76921	11.67434	0.10808	0.10806	0.1887	4.25426	0.30788	1.31556	1.69802	6.86682	0.17379	18.02281	6.3496	38.18459	3.08246	4.42568	0.84096	1.41076	6.48189	0.07929	5.58405	0.17839	1.10789	6.49414	1.27555	3.54537	8.19351	5.47741	0.5292	0.70591	16.53549	10.25293	42.74629	18.71784	34.26084	22.76891	37.0442	1.76969	4.93631	0.66009	38.83481	31.74187	33.49225	34.71208	37.35004	21.97419	10.41061	2.44958	14.92101	3.01326	54.44244	40.21641	25.67198	29.86877	29.15775	1.64523	0.49999	0.44373	0.0	8.16125	30.25583	37.7335	29.69521	26.16081	41.54528	3.5056	2.30938	0.25821	0.0	0.79249	27.12101	31.87667	43.6777	25.77861	31.95948	50.03296	6.03341	4.46154	5.63592	0.0	48.96073	32.62581	63.8698	38.9177	38.84456	22.39718	16.03979	4.80754	8.10974	6.47867	0.0	1.16266	0.0	0.0	0.14856	0.56645	3.26638	7.13672	2.18452	14.17387
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	99.98599	31.05134	13.20931	8.52896	4.05849	0.0	0.08491	0.0	0.00941	0.0	100.0	8.48629	8.83362	2.0004	10.82318	0.29864	0.49239	0.03636	1.31149	8.94559	11.77433	5.68534	16.06396	0.95893	0.03989	0.12148	0.04695	28.4393	0.82495	13.09782	2.2192	3.42481	0.89878	0.67106	3.6515	0.0	46.36951	26.98518	2.28588	15.17846	1.71792	2.15073	0.24191	3.38761	0.07879	0.53318	0.52949	1.20212	1.68012	0.30822	0.20307	0.73621	0.0	0.12289	99.82602	6.58804	0.85777	14.0623	2.23913	0.7841	0.05136	0.16607	0.10347	0.0	43.45577	49.21514	14.21011	10.19242	1.781	2.45072	0.30448	0.0	65.92265	10.0049	4.30065	6.0451	1.02452	2.99492	0.17442	0.29424	1.73655	0.0	0.06184	4.96085	0.66555	0.31789	0.29148	1.05389	0.09222	0.0305	0.0	0.0	81.53177	20.81685	7.79822	3.54386	1.82682	5.10572	1.51325	0.75382	0.99905	1.12331	30.84523	2.0676	7.09476	2.21614	5.24529	2.95355	0.36934	0.33591	0.17594	0.6281	16.84465	1.19936	10.67633	0.9424	1.21549	0.58753	0.2358	0.34008	0.22217	48.16835	22.7172	3.53671	0.56089	1.04329	0.21934	0.14009	0.05134	0.33635	0.0	45.17139	7.71135	1.4115	4.81893	0.0	0.0	0.02514	0.01679	1.33406	0.13778	0.0	40.68195	7.68762	3.80441	6.9275	1.58548	0.07177	0.0	0.0	0.09089	0.0	99.42681	15.54706	40.87808	20.26634	2.42854	2.74993	4.24315	42.61258	0.0	0.11291
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.01401	14.70564	8.39078	12.82654	23.09962	35.51039	3.68564	11.57196	7.806	7.18315	0.0	24.8069	21.96162	17.16017	6.2984	9.38233	9.44926	8.94584	0.0	35.22454	25.57318	15.46088	7.42288	12.84906	7.89609	11.05416	0.35266	65.21376	37.91731	47.51702	70.89521	56.44613	25.20897	19.20263	7.45206	3.71935	0.0	65.56166	59.45335	50.19186	25.92142	28.78502	22.05703	8.41849	1.76226	91.8681	68.88273	76.78464	11.74872	10.38911	5.40339	3.12438	2.75007	2.71547	0.0	88.56502	79.44858	0.43247	34.6492	22.3624	50.6715	3.37676	1.18269	9.51098	0.0	0.0	0.00979	3.41141	0.19769	1.01792	1.61391	6.63318	0.17379	17.97182	6.00632	38.07052	2.62313	4.03798	0.36381	0.44835	6.03059	0.07929	5.58405	0.00505	0.0	4.13722	0.74533	2.75313	8.10807	5.47741	0.43184	0.41484	16.53549	10.25293	42.74629	17.57416	31.98581	21.18972	35.37315	1.52227	2.83587	0.51753	38.83481	31.73799	33.45249	32.5154	34.88931	21.14957	9.84139	2.38177	12.07513	2.70727	53.33116	34.33275	25.15299	28.50473	26.88525	1.23202	0.1927	0.00931	0.0	8.07226	29.34228	37.23242	28.77931	25.18102	38.22567	2.28661	1.1729	0.0	0.0	0.79249	27.12101	31.79967	43.16568	24.57874	30.59827	47.66388	5.73309	4.0749	5.2436	0.0	48.96073	32.62581	63.58885	38.84014	37.84115	21.99568	15.27915	4.48476	7.74307	6.35686	0.0	1.16266	0.0	0.0	0.0	0.0168	3.20062	7.12595	1.99799	14.17387
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	99.98599	31.05134	13.20931	8.52896	4.0191	0.0	0.08491	0.0	0.00941	0.0	100.0	8.48629	8.83362	1.83887	10.82318	0.29864	0.49239	0.03636	1.31149	8.94559	11.77433	5.5415	16.06396	0.95893	0.03989	0.0	0.0	28.4393	0.82495	13.09782	2.2192	3.42481	0.89878	0.67106	3.43721	0.0	46.36951	26.98518	2.28588	15.17846	1.71792	2.15073	0.24191	3.38761	0.0	0.53318	0.52949	1.20212	1.66308	0.30822	0.20307	0.73621	0.0	0.12289	93.66504	6.58804	0.85777	14.0623	2.23913	0.7841	0.05136	0.0	0.0	0.0	43.45577	49.21514	14.21011	10.19242	1.71069	2.45072	0.06746	0.0	65.92265	10.0049	4.30065	5.96591	0.87782	2.99492	0.17442	0.28865	1.73655	0.0	0.06184	4.96085	0.66555	0.31789	0.06345	1.05389	0.0	0.0305	0.0	0.0	67.68152	20.81685	7.79822	3.54386	1.82682	5.10572	1.51325	0.73757	0.99905	1.05214	30.84523	2.0676	7.09476	2.21614	5.24529	2.95355	0.36934	0.33591	0.17594	0.6281	16.84465	1.19936	10.67633	0.9424	1.21549	0.0	0.0	0.0	0.0	48.16835	22.7172	3.53671	0.56089	1.04329	0.21934	0.0	0.0	0.0	0.0	45.17139	7.71135	1.4115	4.81893	0.0	0.0	0.0	0.01679	1.26921	0.0	0.0	40.68195	7.68762	3.80441	6.9275	1.58548	0.07177	0.0	0.0	0.09089	0.0	99.42681	15.54706	40.87808	20.26634	2.42854	2.74993	4.24315	42.51955	0.0	0.03755
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.01401	14.63698	8.38955	12.82654	23.06469	35.51039	3.68564	11.57196	7.806	7.18315	0.0	24.8069	21.96162	17.16017	6.2984	9.38233	9.44926	8.94584	0.0	35.22454	25.57318	15.46088	7.42288	12.84906	7.89609	11.05416	0.35266	65.12606	37.50066	47.46594	70.85061	56.34878	25.20897	19.20263	7.45206	3.71935	0.0	65.56166	59.45335	50.12402	25.90904	28.78502	22.05703	8.40841	1.76226	91.51424	68.60406	76.75387	11.74872	10.38911	5.40339	3.12438	2.75007	2.71547	0.0	88.51119	79.13761	0.43247	34.6492	22.3624	50.6715	3.37676	1.18269	9.51098	0.0	0.0	0.0	3.39879	0.17265	1.01792	1.61391	6.63318	0.0	17.97182	6.00632	38.05563	2.62313	4.03798	0.36381	0.44835	6.03059	0.0	5.38124	0.0	0.0	4.11046	0.74533	2.75313	8.10807	5.47741	0.43184	0.41484	12.58129	10.1952	42.67349	17.57416	31.97592	21.16874	35.36659	1.52227	2.83587	0.51753	38.83481	31.6881	33.4059	32.48003	34.88931	21.14808	9.84139	2.38177	12.07513	2.70727	53.32801	34.33275	25.15299	28.50473	26.88525	0.99699	0.1608	0.00931	0.0	8.06859	29.33825	37.23242	28.77931	25.18102	38.22567	2.28661	1.1729	0.0	0.0	0.79249	27.12101	31.79244	43.1648	24.57874	30.59827	47.66388	5.73309	4.0749	5.2436	0.0	48.96073	32.55003	63.57987	38.84014	37.84115	21.99568	15.27915	4.48476	7.74307	6.35686	0.0	1.16266	0.0	0.0	0.0	0.0168	3.20062	7.12595	1.99799	14.16704
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	99.98599	31.05134	13.20931	8.52896	4.0191	0.0	0.08491	0.0	0.00941	0.0	100.0	8.48629	8.83362	1.83887	10.78273	0.29864	0.49239	0.03636	0.0	8.94559	11.77433	5.5415	16.05904	0.95893	0.03989	0.0	0.0	28.4393	0.82495	13.09782	2.2192	3.42032	0.89878	0.63467	2.81323	0.0	46.36951	26.98518	2.28588	15.17846	1.24303	1.79195	0.24191	3.38761	0.0	0.53318	0.52949	1.20212	1.66308	0.30822	0.20307	0.73621	0.0	0.12289	0.0	4.73682	0.85777	14.0623	2.23913	0.7841	0.05136	0.0	0.0	0.0	43.45577	49.21514	14.21011	10.19242	1.71069	2.45072	0.06746	0.0	65.92265	10.0049	4.30065	5.96591	0.87782	2.99492	0.17442	0.22574	1.73655	0.0	0.06184	4.96085	0.66555	0.31789	0.06345	1.05389	0.0	0.0305	0.0	0.0	22.80292	20.81685	7.79822	3.54386	1.82682	5.04039	1.51325	0.73757	0.99905	1.05214	30.84523	2.0676	7.09476	2.21614	5.21654	2.95355	0.36934	0.33591	0.17594	0.6281	16.84465	1.19936	10.67633	0.9424	1.21549	0.0	0.0	0.0	0.0	46.66012	22.6555	3.53671	0.56089	1.04329	0.21934	0.0	0.0	0.0	0.0	45.17139	7.42247	1.31911	4.81893	0.0	0.0	0.0	0.01679	1.26921	0.0	0.0	40.68195	7.19527	3.6541	6.45492	1.58548	0.07177	0.0	0.0	0.09089	0.0	99.42681	15.54706	40.85552	20.26634	2.42854	2.74993	4.24315	42.51955	0.0	0.03755
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.01401	14.63698	8.38955	12.82654	23.06469	35.51039	3.68564	11.57196	7.806	7.18315	0.0	24.8069	21.96162	17.16017	6.2984	9.38233	9.44926	8.94584	0.0	35.22454	25.57318	15.46088	7.42288	12.84906	7.89609	11.05416	0.35266	65.12606	37.50066	47.46594	70.85061	56.34878	25.20897	19.20263	7.45206	3.71935	0.0	65.56166	59.45335	50.12402	25.90904	28.78502	22.05703	8.40841	1.76226	91.51424	68.60406	76.75387	11.74872	10.38911	5.40339	3.12438	2.75007	2.71547	0.0	88.51119	79.13761	0.43247	34.6492	22.3624	50.6715	3.37676	1.18269	9.51098	0.0	0.0	0.0	3.39879	0.17265	1.01792	1.61391	6.63318	0.0	17.97182	6.00632	38.05563	2.62313	4.03798	0.36381	0.44835	6.03059	0.0	5.38124	0.0	0.0	4.11046	0.74533	2.75313	8.10807	5.47741	0.43184	0.41484	12.58129	10.1952	42.67349	17.57416	31.97592	21.16874	35.36659	1.52227	2.83587	0.51753	38.83481	31.6881	33.4059	32.48003	34.88931	21.14808	9.84139	2.38177	12.07513	2.70727	53.32801	34.33275	25.15299	28.50473	26.88525	0.99699	0.1608	0.00931	0.0	8.06859	29.33825	37.23242	28.77931	25.18102	38.22567	2.28661	1.1729	0.0	0.0	0.79249	27.12101	31.79244	43.1648	24.57874	30.59827	47.66388	5.73309	4.0749	5.2436	0.0	48.96073	32.55003	63.57987	38.84014	37.84115	21.99568	15.27915	4.48476	7.74307	6.35686	0.0	1.16266	0.0	0.0	0.0	0.0168	3.20062	7.12595	1.99799	14.16704
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	99.93774	0.08538	5.67549	0.1504	0.08712	0.0	0.0	0.0	0.0	0.0	0.0	6.39921	3.74362	1.22987	10.05211	0.22878	0.10387	0.0	0.0	5.99899	4.252	4.40434	14.88309	0.91406	0.0	0.0	0.0	0.0	0.0	0.12589	0.0	0.0	0.0	0.0	2.81323	0.0	0.0	0.0	0.0	0.23912	0.0	0.0	0.0	3.29823	0.0	0.0	0.00963	0.07445	0.18386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08964	5.40731	0.40062	0.26724	0.0	0.0	0.0	0.0	35.54233	4.86099	1.07096	0.24068	0.3379	0.2029	0.0	0.0	65.66084	2.57733	1.66711	2.96169	0.02733	0.43105	0.07509	0.0	0.34591	0.0	0.06184	0.0	0.0	0.11654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17931	5.24196	0.08477	0.67772	4.77284	1.21298	0.30756	0.8075	0.0	30.67035	0.69503	3.15004	0.03043	1.5294	1.27238	0.04426	0.043	0.02661	0.0	7.10749	1.19936	10.64977	0.73351	0.40508	0.0	0.0	0.0	0.0	0.62629	18.11886	3.17719	0.56089	1.04329	0.0	0.0	0.0	0.0	0.0	45.17139	0.0	0.0	0.1896	0.0	0.0	0.0	0.0	1.26921	0.0	0.0	38.95784	0.07122	0.0	0.08365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.37122	30.10009	5.70963	1.50056	0.23648	0.28595	0.7492	0.0	0.0
