#mpa_v31_CHOCOPhlAn_201901
clade_name	1005_01	1006_01	1009_01	1016_01	1018_01	1021_01	1024_01	1025_01	1033_01	1035_01	1040_01	1041_01	1050_01	1055_01	1058_01	1063_01	110_02	1113_01	1124_01	1144_01	1174_01	121_01	135_01	138_01	142_01	144_01	144_02	146_01	149_01	157_01	160_01	163_01	164_01	165_01	171_01	174_01	176_01	178_01	178_02	180_01	184_01	187_01	188_01	190_01	196_01	199_01	2001_01	2007_01	2010_01	2013_01	2016_01	2017_01	2018_01	202_01	2021_01	2023_01	2023_02	2024_01	2028_01	2029_01	2030_01	2031_01	2038_01	2042_01	2047_01	2052_01	2073_01	2076_01	210_01	2115_01	213_01	2136_01	214_01	217_01	218_01	219_01	2197_01	2204_01	2205_01	2215_01	2222_01	223_01	2232_01	228_01	233_01	234_01	235_01	237_01	241_01	243_01	244_01	246_01	246_02	247_01	248_01	252_01	253_02	253_03	257_01	261_01	277_01	278_01	281_01	285_01	287_01	288_01	290_01	293_01	296_01	305_01	307_01	313_01	318_01	327_01	330_01	348_01	349_01	349_02	355_01	360_01	36_01	365_01	365_02	367_01	371_01	373_01	386_01	388_01	388_02	392_01	403_01	405_01	434_02	434_03	440_01	441_01	443_01	45_01	72_01	74_01	76_02	76_03	78_01	84_01	92_01	94_01
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.52726	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	65.55511	65.37983	74.09503	99.65612	98.51539	51.21168	89.89631	18.09574	95.23885	96.51317	99.93389	2.0138	31.39028	88.79428	18.97886	99.98868	3.34388	95.09065	99.67277	72.98	18.89561	45.46291	99.49476	98.80601	100.0	17.14419	17.15251	82.55394	27.34501	99.89789	63.93954	51.55757	61.86466	40.55939	29.30917	45.82698	96.68387	59.48474	37.11729	23.58584	70.39143	8.92305	100.0	34.7865	28.95245	99.77408	44.83382	22.67721	94.37948	29.80279	99.70394	46.29111	52.73616	50.84956	48.39859	45.18607	19.77398	52.45536	16.49375	99.95636	4.33694	96.78603	35.98619	31.80755	98.98017	82.68791	16.62524	93.48232	15.19757	73.30847	22.01172	47.03244	53.81736	57.16449	88.77264	53.54926	99.97168	94.06805	18.83324	87.78714	72.27108	95.42117	2.6737	6.84412	46.63736	53.77983	46.48831	43.24534	99.27053	6.38541	25.48966	14.5894	17.55119	0.0	91.05225	83.11745	38.59818	23.91416	57.95114	37.59391	34.89952	19.70426	89.97058	58.06768	48.89108	18.37743	15.13478	60.81324	32.49443	46.85759	49.32715	82.38863	53.60415	51.19244	30.41889	98.63912	92.48332	100.0	0.48936	46.17681	93.22221	69.94365	32.06651	63.45955	79.04484	76.98014	48.74458	61.68905	64.20593	92.47214	22.87709	59.74737	23.4006	84.84409	62.40323	41.57354	73.10744	29.08789	34.69773	49.49326	38.28925	21.82532	57.96894	12.36592	76.74117	35.8211
k__Bacteria|p__Actinobacteria	34.44489	0.25014	0.0	0.34388	0.0	0.27787	0.51379	0.35744	4.76115	0.0	0.0	0.0	0.12966	0.0	0.0	0.01132	0.0	0.0	0.0	0.03309	0.0	0.05261	0.50524	1.18726	0.0	0.0	7.41938	0.0	0.0	0.03652	5.58565	1.41523	0.0	0.45799	0.61129	1.71452	0.24643	5.43003	53.26018	2.59252	0.0	69.71322	0.0	5.38884	51.43069	0.0	9.66013	31.10616	5.62052	1.3137	0.04526	0.0	0.0	0.0	47.1485	1.46178	43.75772	47.54464	0.02695	0.03265	0.03127	0.65476	10.94635	0.0	1.01983	3.70234	0.01357	0.0	0.62421	1.5962	29.34421	0.0	1.00875	0.13021	0.40231	0.02844	0.0	5.93195	76.73781	12.1163	27.72892	4.00184	18.84319	0.07086	49.91667	1.52284	0.06573	54.50954	0.72947	0.0	0.0	84.45349	78.78058	0.0	6.93663	7.89987	56.19907	10.98047	0.0	42.80486	0.0	4.56133	10.02942	10.97078	51.10892	51.81489	67.8217	0.0	6.44373	30.86943	48.44005	0.0	2.20388	0.0	5.88545	0.94079	0.0	0.0	0.0	0.0	0.06886	4.27344	6.66247	2.24113	20.95516	4.59924	0.0	10.67186	0.15527	6.32446	0.90464	31.17615	0.52791	0.13956	0.39475	0.0	9.25643	0.87854	65.26286	0.15179	0.13231	0.04451	14.80674	0.0	0.00091	16.05023
k__Bacteria|p__Firmicutes|c__Bacilli	39.64307	40.54267	10.18778	99.65612	58.968	51.21168	89.89631	18.0756	47.76505	96.51317	99.93389	1.05979	8.66123	43.92054	17.8208	99.98868	3.34388	18.04474	19.90444	8.56386	3.70378	1.91344	71.35081	61.54458	61.44034	2.79639	12.23351	75.69137	3.85186	99.11431	53.01591	11.49568	51.38771	40.55939	24.13124	7.57395	96.68387	33.27493	29.06269	22.32007	70.39143	2.4655	24.46083	24.84393	13.45604	99.77408	9.63439	8.45832	33.06608	23.34817	91.16579	8.4838	0.91339	5.01711	20.76485	39.83388	13.75718	52.45536	16.49375	52.47802	4.33694	45.63058	33.94028	0.06875	98.98017	53.75708	16.62524	36.84629	6.93486	69.63704	6.50558	45.48245	41.56936	13.28341	85.67309	53.54926	24.44903	94.06491	18.76965	23.0003	72.27108	17.91161	2.6737	6.84412	46.14928	37.51404	31.4648	25.56645	99.27053	1.59753	18.50191	0.94254	8.84473	0.0	77.00782	64.88764	35.48098	19.14949	48.65794	18.49317	29.7177	18.71462	64.46002	42.73328	48.11186	5.73294	14.60875	51.19326	32.49443	28.72276	36.47022	62.5224	26.42477	33.97304	1.33253	57.66124	83.58137	19.02621	0.48936	35.03685	54.41099	56.19328	29.1698	17.21653	73.83058	49.63371	47.99629	47.97156	49.27082	85.88607	18.60926	59.53099	23.22379	63.04671	8.27262	7.44569	31.39351	17.2503	7.67834	25.98002	0.12634	21.82532	28.46245	12.36592	60.86736	13.45006
k__Bacteria|p__Actinobacteria|c__Actinobacteria	34.44489	0.25014	0.0	0.34388	0.0	0.27787	0.51379	0.0	4.76115	0.0	0.0	0.0	0.12966	0.0	0.0	0.01132	0.0	0.0	0.0	0.03309	0.0	0.05261	0.50524	1.18726	0.0	0.0	7.41938	0.0	0.0	0.03652	5.58565	1.41523	0.0	0.45799	0.61129	1.71452	0.24643	5.43003	53.26018	2.59252	0.0	69.71322	0.0	5.38884	51.43069	0.0	9.66013	31.10616	4.21835	1.3137	0.04526	0.0	0.0	0.0	47.1485	0.14368	42.93421	47.54464	0.02695	0.03265	0.03127	0.65476	4.09467	0.0	1.01983	3.70234	0.01357	0.0	0.62421	1.5962	29.34421	0.0	1.00875	0.13021	0.40231	0.02844	0.0	5.93195	76.73781	11.38988	27.72892	4.00184	18.84319	0.07086	49.91667	1.52284	0.06573	53.34481	0.72947	0.0	0.0	83.58255	77.03889	0.0	6.33931	2.82399	56.08777	10.98047	0.0	42.58413	0.0	4.56133	10.02942	10.97078	51.10892	49.30227	67.8217	0.0	6.44373	30.86943	40.60512	0.0	1.71154	0.0	5.88545	0.94079	0.0	0.0	0.0	0.0	0.06886	4.00507	6.66247	2.24113	20.95516	0.08296	0.0	10.67186	0.15527	6.32446	0.90464	31.17615	0.27185	0.13956	0.39475	0.0	9.25643	0.1371	65.26286	0.15179	0.13231	0.04451	14.80674	0.0	0.00091	12.63481
k__Bacteria|p__Firmicutes|c__Clostridia	18.99851	9.41524	51.72405	0.0	38.17122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.27728	0.0	0.0	0.0	0.0	72.2492	43.06948	61.87006	0.0	37.98043	0.0	18.40217	34.70505	7.19519	4.79752	6.86256	23.49315	0.78358	10.8966	9.73405	8.98617	0.0	3.21656	23.31297	0.0	8.67734	0.28753	1.26577	0.0	6.34617	35.62084	1.60151	0.0	0.0	29.96534	4.64416	46.70492	6.45463	0.0	37.80731	51.82277	45.83245	0.0	0.0	3.02803	0.0	0.0	47.02085	0.0	39.43447	1.75073	31.73879	0.0	0.0	0.0	32.09049	8.26271	3.34554	0.0	1.54999	9.44238	0.0	3.09954	0.0	23.86228	0.0	0.0	4.22552	0.0	73.4596	0.0	0.0	0.48808	1.05004	15.02351	16.97584	0.0	4.78788	3.48571	0.14001	4.94304	0.0	1.87389	6.8548	0.79743	4.76467	9.25002	7.91382	0.32415	0.98964	14.78531	10.27736	0.05763	10.06981	0.52603	0.0	0.0	3.17718	11.75942	19.86622	26.64332	17.21939	25.41529	0.0959	6.57921	80.97379	0.0	11.13996	35.25076	13.667	1.95591	0.0	5.21426	24.582	0.0	0.85693	1.39793	6.21265	0.0	0.0	0.17681	0.0	53.65961	34.1213	41.42218	0.0	4.38463	9.03278	0.0	0.0	2.75796	0.0	15.0005	22.31991
k__Bacteria|p__Firmicutes|c__Negativicutes	6.91353	15.42192	12.17061	0.0	1.37616	0.0	0.0	0.0	47.47379	0.0	0.0	0.954	0.45177	44.87374	1.15805	0.0	0.0	4.79671	26.32588	2.17059	15.19183	5.56904	0.0	18.85926	0.0	7.1526	0.12149	0.0	0.0	0.0	0.0	30.32784	1.49078	0.0	1.96137	14.71703	0.0	7.52102	6.85887	0.0	0.0	0.04029	0.95626	7.29828	14.29522	0.0	0.0	9.57473	14.04105	0.0	8.53815	0.0	0.0	0.0	26.87834	0.40685	0.12163	0.0	0.0	0.0	0.0	11.72098	0.29518	0.0	0.0	15.41004	0.0	24.54554	0.0	0.32588	14.48159	0.0	0.03046	1.02005	0.0	0.0	49.97197	0.0	0.06359	0.12418	0.0	4.04996	0.0	0.0	0.0	15.18042	0.0	0.1601	0.0	0.0	3.23998	13.48831	3.36816	0.0	12.17054	0.0	0.04522	0.0	0.0	11.18551	3.12003	0.0	9.68661	2.06989	0.24646	2.57468	0.0	2.93376	0.0	14.95766	1.09751	0.0	0.27513	0.0	3.67107	27.64156	2.32274	0.0	0.0	0.0	3.56046	0.0	0.0	46.24302	0.0	2.76443	0.74829	12.83984	13.12849	0.0	4.26782	0.21638	0.0	0.0	0.471	0.00656	0.10107	3.39264	22.63476	13.8659	37.86712	0.0	24.35895	0.0	0.87331	0.05113
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	36.01909	39.86693	7.59602	8.17429	49.46939	46.04545	83.18877	17.96434	43.75157	94.08169	0.08356	0.29047	7.08177	21.45198	17.0044	0.0	3.34388	14.69863	18.23626	8.43451	3.70378	1.78305	68.68224	60.21484	60.73477	2.77159	12.23351	74.2018	1.69642	73.16719	5.78729	11.06101	51.38771	2.10579	23.85459	4.28522	0.0	33.16208	29.06269	22.05958	70.29594	1.97952	20.27888	24.84393	13.42621	98.2564	8.21899	8.45455	32.23102	9.89812	80.56926	7.13783	0.01875	3.42066	13.63564	39.3206	13.7079	2.34709	4.34873	43.32588	4.33694	23.41347	33.94028	0.06875	91.14853	53.42328	7.73666	34.33661	6.93486	68.91093	6.05284	45.3273	41.51921	11.3396	85.67309	51.54141	2.64896	86.9575	18.76965	22.23446	71.10886	17.32642	1.61791	4.6176	43.88602	37.51404	31.37304	20.81222	77.7897	0.0	17.92338	0.53129	8.61143	0.0	76.09023	64.32996	35.39322	19.14949	48.65583	18.18606	29.7177	18.6784	64.33019	42.73328	47.69624	5.73294	14.49364	51.19326	31.93531	13.36725	36.47022	62.5224	26.19442	33.97304	0.38937	57.39176	83.55285	2.51851	0.48936	32.85651	54.41099	56.07958	29.04306	17.13942	2.91981	49.06512	47.99629	46.89328	49.27082	80.39995	0.0	58.94122	21.11606	61.45116	8.01771	7.19569	26.70777	14.56368	4.75446	25.98002	0.00559	21.3856	26.67248	12.36592	60.47418	13.45006
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	34.43618	0.24174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59252	0.0	0.0	0.0	0.0	45.93565	0.0	0.0	31.02334	0.0	0.0	0.0	0.0	0.0	0.0	33.64382	0.0	42.93421	0.0	0.00723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.75611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.46702	0.0	27.72892	0.0	17.752	0.00923	48.8286	0.0	0.0	8.57427	0.0	0.0	0.0	77.71167	72.64877	0.0	0.0	0.0	0.0	0.0	0.0	34.31155	0.0	4.52527	9.66194	0.0	0.0	49.29092	67.8217	0.0	0.18271	30.86943	33.14025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.83539	0.0	0.0	0.0	0.0	0.0	0.0	65.26286	0.0	0.0	0.0	0.0	0.0	0.0	3.74732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.99851	9.41524	51.72405	0.0	38.17122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.27728	0.0	0.0	0.0	0.0	72.2492	43.06948	61.87006	0.0	37.98043	0.0	18.40217	34.70505	7.19519	4.79752	6.86256	23.49315	0.78358	10.8966	9.73405	8.98617	0.0	3.21656	23.31297	0.0	8.67734	0.28753	1.26577	0.0	6.34617	35.62084	1.60151	0.0	0.0	29.96534	4.64416	46.70492	6.45463	0.0	37.80731	51.82277	45.83245	0.0	0.0	3.02803	0.0	0.0	47.02085	0.0	39.43447	1.75073	31.73879	0.0	0.0	0.0	32.09049	8.26271	3.34554	0.0	1.54999	9.44238	0.0	3.09954	0.0	23.86228	0.0	0.0	4.22552	0.0	73.4596	0.0	0.0	0.48808	1.05004	15.02351	16.97584	0.0	4.78788	3.48571	0.14001	4.94304	0.0	1.87389	6.8548	0.79743	4.76467	9.25002	7.91382	0.32415	0.98964	14.78531	10.27736	0.05763	10.06981	0.52603	0.0	0.0	3.17718	11.75942	19.86622	26.64332	17.21939	25.41529	0.0959	6.57921	80.97379	0.0	11.13996	35.25076	13.667	1.95591	0.0	5.21426	24.582	0.0	0.85693	1.39793	6.21265	0.0	0.0	0.17681	0.0	53.65961	34.1213	41.42218	0.0	4.38463	9.03278	0.0	0.0	2.75796	0.0	15.0005	22.31991
